date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:20:49	107/107	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Aug%202025%2021:20:49%20GMT	https://gov.pampersbr.org/robots.txt		(from )
18:20:50	24272/24272	---MCZ	200	added ('OK')	text/html	etag:W/%22689ad88a-5ed0%22	https://gov.pampersbr.org/?utm_source=FB&utm_campaign=%5BTESTE%5D-%5BIMG06%5D-%5BCA3%5D-%5BPROGRAMA%5D+%E2%80%94+C%C3%B3pia%7C120233102487770007&utm_medium=Novo+conjunto+de+an%C3%BAncios+de+Vendas+%E2%80%94+C%C3%B3pia%7C120233102488010007&utm_content=Novo+an%C3%BAncio+de+Vendas%7C120233102488200007&utm_term=Instagram_Feed&utm_id=120233102487770007&fbclid=PAQ0xDSwMKmyBleHRuA2FlbQEwAGFkaWQBqydevHG99wGn0ub3X6lGOmFU7TfMrADhQB4buq5bMTBtwm4rY6JKx2CMc1Ecwg_tHXdAgFo_aem_EcXIykdefiFaLlLoVjn3gA	C:/Meus%20Sites/pamprs/gov.pampersbr.org/index368a.html	(from )
18:20:51	124852/124852	---MCZ	200	added ('OK')	text/css	etag:W/%2268922b68-1e7b4%22	https://gov.pampersbr.org/css/xKCoaRIwR359.css	C:/Meus%20Sites/pamprs/gov.pampersbr.org/css/xKCoaRIwR359.css	(from https://gov.pampersbr.org/?utm_source=FB&utm_campaign=%5BTESTE%5D-%5BIMG06%5D-%5BCA3%5D-%5BPROGRAMA%5D+%E2%80%94+C%C3%B3pia%7C120233102487770007&utm_medium=Novo+conjunto+de+an%C3%BAncios+de+Vendas+%E2%80%94+C%C3%B3pia%7C120233102488010007&utm_content=Novo+an%C3%BAncio+de+Vendas%7C120233102488200007&utm_term=Instagram_Feed&utm_id=120233102487770007&fbclid=PAQ0xDSwMKmyBleHRuA2FlbQEwAGFkaWQBqydevHG99wGn0ub3X6lGOmFU7TfMrADhQB4buq5bMTBtwm4rY6JKx2CMc1Ecwg_tHXdAgFo_aem_EcXIykdefiFaLlLoVjn3gA)
18:20:51	14028/14028	---MCZ	200	added ('OK')	text/javascript	etag:W/%223597da8fec71b3250f509ca225474aaa%22	https://cdn.utmify.com.br/scripts/utms/latest.js	C:/Meus%20Sites/pamprs/cdn.utmify.com.br/scripts/utms/latest.js	(from https://gov.pampersbr.org/?utm_source=FB&utm_campaign=%5BTESTE%5D-%5BIMG06%5D-%5BCA3%5D-%5BPROGRAMA%5D+%E2%80%94+C%C3%B3pia%7C120233102487770007&utm_medium=Novo+conjunto+de+an%C3%BAncios+de+Vendas+%E2%80%94+C%C3%B3pia%7C120233102488010007&utm_content=Novo+an%C3%BAncio+de+Vendas%7C120233102488200007&utm_term=Instagram_Feed&utm_id=120233102487770007&fbclid=PAQ0xDSwMKmyBleHRuA2FlbQEwAGFkaWQBqydevHG99wGn0ub3X6lGOmFU7TfMrADhQB4buq5bMTBtwm4rY6JKx2CMc1Ecwg_tHXdAgFo_aem_EcXIykdefiFaLlLoVjn3gA)
18:20:51	36756/36756	---MCZ	200	added ('OK')	text/javascript	etag:W/%221dbf4a5692b4833e577ccd806f8c9ad6%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	C:/Meus%20Sites/pamprs/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://gov.pampersbr.org/?utm_source=FB&utm_campaign=%5BTESTE%5D-%5BIMG06%5D-%5BCA3%5D-%5BPROGRAMA%5D+%E2%80%94+C%C3%B3pia%7C120233102487770007&utm_medium=Novo+conjunto+de+an%C3%BAncios+de+Vendas+%E2%80%94+C%C3%B3pia%7C120233102488010007&utm_content=Novo+an%C3%BAncio+de+Vendas%7C120233102488200007&utm_term=Instagram_Feed&utm_id=120233102487770007&fbclid=PAQ0xDSwMKmyBleHRuA2FlbQEwAGFkaWQBqydevHG99wGn0ub3X6lGOmFU7TfMrADhQB4buq5bMTBtwm4rY6JKx2CMc1Ecwg_tHXdAgFo_aem_EcXIykdefiFaLlLoVjn3gA)
18:20:52	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2023%20Aug%202025%2021:20:53%20GMT	https://i.postimg.cc/JhFzfBbb/pampers-logo.png	C:/Meus%20Sites/pamprs/i.postimg.cc/JhFzfBbb/pampers-logo.3.delayed	(from https://gov.pampersbr.org/?utm_source=FB&utm_campaign=%5BTESTE%5D-%5BIMG06%5D-%5BCA3%5D-%5BPROGRAMA%5D+%E2%80%94+C%C3%B3pia%7C120233102487770007&utm_medium=Novo+conjunto+de+an%C3%BAncios+de+Vendas+%E2%80%94+C%C3%B3pia%7C120233102488010007&utm_content=Novo+an%C3%BAncio+de+Vendas%7C120233102488200007&utm_term=Instagram_Feed&utm_id=120233102487770007&fbclid=PAQ0xDSwMKmyBleHRuA2FlbQEwAGFkaWQBqydevHG99wGn0ub3X6lGOmFU7TfMrADhQB4buq5bMTBtwm4rY6JKx2CMc1Ecwg_tHXdAgFo_aem_EcXIykdefiFaLlLoVjn3gA)
18:20:52	0/-1	---M--	302	error ('')			https://i.postimg.cc/JhFzfBbb/pampers-logo.png	C:/Meus%20Sites/pamprs/i.postimg.cc/JhFzfBbb/pampers-logo.4.delayed	(from https://gov.pampersbr.org/?utm_source=FB&utm_campaign=%5BTESTE%5D-%5BIMG06%5D-%5BCA3%5D-%5BPROGRAMA%5D+%E2%80%94+C%C3%B3pia%7C120233102487770007&utm_medium=Novo+conjunto+de+an%C3%BAncios+de+Vendas+%E2%80%94+C%C3%B3pia%7C120233102488010007&utm_content=Novo+an%C3%BAncio+de+Vendas%7C120233102488200007&utm_term=Instagram_Feed&utm_id=120233102487770007&fbclid=PAQ0xDSwMKmyBleHRuA2FlbQEwAGFkaWQBqydevHG99wGn0ub3X6lGOmFU7TfMrADhQB4buq5bMTBtwm4rY6JKx2CMc1Ecwg_tHXdAgFo_aem_EcXIykdefiFaLlLoVjn3gA)
18:20:53	16665/16665	---MCZ	200	added ('OK')	text/html	etag:W/%22689d5453-4119%22	https://gov.pampersbr.org/verificacao/index.html	C:/Meus%20Sites/pamprs/gov.pampersbr.org/verificacao/index.html	(from https://gov.pampersbr.org/?utm_source=FB&utm_campaign=%5BTESTE%5D-%5BIMG06%5D-%5BCA3%5D-%5BPROGRAMA%5D+%E2%80%94+C%C3%B3pia%7C120233102487770007&utm_medium=Novo+conjunto+de+an%C3%BAncios+de+Vendas+%E2%80%94+C%C3%B3pia%7C120233102488010007&utm_content=Novo+an%C3%BAncio+de+Vendas%7C120233102488200007&utm_term=Instagram_Feed&utm_id=120233102487770007&fbclid=PAQ0xDSwMKmyBleHRuA2FlbQEwAGFkaWQBqydevHG99wGn0ub3X6lGOmFU7TfMrADhQB4buq5bMTBtwm4rY6JKx2CMc1Ecwg_tHXdAgFo_aem_EcXIykdefiFaLlLoVjn3gA)
18:20:53	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2023%20Aug%202025%2021:20:53%20GMT	https://i.postimg.cc/vmtK84hK/banner-pampers.png	C:/Meus%20Sites/pamprs/i.postimg.cc/vmtK84hK/banner-pampers.png	(from https://gov.pampersbr.org/?utm_source=FB&utm_campaign=%5BTESTE%5D-%5BIMG06%5D-%5BCA3%5D-%5BPROGRAMA%5D+%E2%80%94+C%C3%B3pia%7C120233102487770007&utm_medium=Novo+conjunto+de+an%C3%BAncios+de+Vendas+%E2%80%94+C%C3%B3pia%7C120233102488010007&utm_content=Novo+an%C3%BAncio+de+Vendas%7C120233102488200007&utm_term=Instagram_Feed&utm_id=120233102487770007&fbclid=PAQ0xDSwMKmyBleHRuA2FlbQEwAGFkaWQBqydevHG99wGn0ub3X6lGOmFU7TfMrADhQB4buq5bMTBtwm4rY6JKx2CMc1Ecwg_tHXdAgFo_aem_EcXIykdefiFaLlLoVjn3gA)
18:20:54	108020/108020	---M--	200	added ('OK')	font/woff2	etag:%22688fac5a-1a5f4%22	https://gov.pampersbr.org/fonts/p5fAUfcHv07s.woff2	C:/Meus%20Sites/pamprs/gov.pampersbr.org/fonts/p5fAUfcHv07s.woff2	(from https://gov.pampersbr.org/css/xKCoaRIwR359.css)
